Region/Category,Recipe Display Name,Required Filename
Tamil Nadu,Tamil Style Fish Curry,meen-kuzhambu.jpg
Tamil Nadu,Chettinad Mutton Curry,chettinad-mutton-curry.jpg
Tamil Nadu,Nei Meen Varuval,nei-meen-varuval.jpg
Tamil Nadu,Naatu Kozhi Kuzhambu,naatu-kozhi-kuzhambu.jpg
Tamil Nadu,Nandu Kuzhambu (Tamil Crab Curry),nandu-kuzhambu.jpg
Tamil Nadu,Kozhi Milagu Varuval,kozhi-milagu-varuval.jpg
Tamil Nadu,Mutton Sukka,mutton-sukka-tn.jpg
Tamil Nadu,Prawn Masala (Tamil Style),prawn-masala-tn.jpg
Tamil Nadu,Chicken 65 (Tamil Style),chicken-65-tn.jpg
Tamil Nadu,Mutton Kola Urundai Kuzhambu,mutton-kola-urundai-kuzhambu.jpg
Tamil Nadu,Chicken Chukka,chicken-chukka-tn.jpg
Tamil Nadu,Meen Varuval,meen-varuval-tn.jpg
Tamil Nadu,Kozhi Varuval,kozhi-varuval-tn.jpg
Tamil Nadu,Nattu Kozhi Varuval,nattu-kozhi-varuval-tn.jpg
Tamil Nadu,Yera Thokku,yera-thokku-tn.jpg
Tamil Nadu,Kari Dosai,kari-dosai-tn.jpg
Tamil Nadu,Attu Kal Kari (Goat Trotters Curry),attu-kal-kari-tn.jpg
Tamil Nadu,Chicken Chettinad Biryani,chicken-chettinad-biryani.jpg
Tamil Nadu,Ambur Chicken Biryani,ambur-chicken-biryani.jpg
Tamil Nadu,Dindigul Chicken Biryani,dindigul-chicken-biryani.jpg
Tamil Nadu,Sundal,sundal-snack.jpg
Tamil Nadu,Thattai,thattai-crackers.jpg
Tamil Nadu,Ulundu Vadai,ulundu-vadai-snack.jpg
Tamil Nadu,Vazhaipoo Vadai,vazhaipoo-vadai-snack.jpg
Tamil Nadu,Ellu Urundai,ellu-urundai-snack.jpg
Tamil Nadu,Bajji,bajji-snack.jpg
Tamil Nadu,Murukku,murukku-snack.jpg
Tamil Nadu,Kola Urundai (Chettinad Meatballs),kola-urundai-chettinad.jpg
Tamil Nadu,Parotta Salna,parotta-salna-street.jpg
Tamil Nadu,Chicken Chettinad Varuval,chicken-chettinad-varuval-snack.jpg
Kerala,Avial,avial.jpg
Kerala,Appam with Vegetable Stew,appam-veg-stew.jpg
Kerala,Puttu with Kadala Curry,puttu-kadala-curry.jpg
Kerala,Olan,olan.jpg
Kerala,Cabbage Thoran,cabbage-thoran.jpg
Kerala,Pumpkin & Lentil Erissery,erissery.jpg
Kerala,Kaalan,kaalan.jpg
Kerala,Kerala Parippu Curry,parippu-curry-kerala.jpg
Kerala,Kerala Vegetable Stew,kerala-veg-stew.jpg
Kerala,Cherupayar Curry,cherupayar-curry.jpg
Kerala,Kappa Vevichathu,kappa-vevichathu.jpg
Kerala,Kerala Rice Kanji,kerala-kanji.jpg
Kerala,Cucumber Pachadi,pachadi-kerala.jpg
Kerala,Puliyinji,puliyinji.jpg
Kerala,Kerala Style Sambar,kerala-sambar.jpg
Kerala,Kerala Fish Curry (Meen Curry),kerala-fish-curry.jpg
Kerala,Kerala Beef Fry (Ularthiyathu),kerala-beef-fry.jpg
Kerala,Fish Molee,fish-molee.jpg
Kerala,Kerala Chicken Curry,kerala-chicken-curry.jpg
Kerala,Chicken Mappas,chicken-mappas.jpg
Kerala,Meen Pollichathu,meen-pollichathu.jpg
Kerala,Karimeen Fry,karimeen-fry.jpg
Kerala,Prawn Mango Curry,prawn-mango-curry.jpg
Kerala,Kerala Egg Roast,egg-roast-kerala.jpg
Kerala,Kerala Duck Roast,duck-roast-kerala.jpg
Kerala,Unniyappam,unniyappam.jpg
Kerala,Kerala Parippu Vada,parippu-vada-kerala.jpg
Kerala,Kerala Banana Chips,banana-chips-kerala.jpg
Kerala,Ada Pradhaman,ada-pradhaman.jpg
Kerala,Pazham Pori,pazham-pori.jpg
Andhra Pradesh,Andhra Chicken Curry (Kodi Kura),kodi-kura-andhra.jpg
Andhra Pradesh,Gongura Chicken,gongura-chicken-andhra.jpg
Andhra Pradesh,Andhra Mutton Curry,andhra-mutton-curry-rich.jpg
Andhra Pradesh,Chepa Pulusu,chepa-pulusu-andhra.jpg
Andhra Pradesh,Royyala Iguru,royyala-iguru-andhra.jpg
Andhra Pradesh,Kodi Vepudu,kodi-vepudu-andhra.jpg
Andhra Pradesh,Natu Kodi Pulusu,natu-kodi-pulusu-andhra.jpg
Andhra Pradesh,Guntur Chicken,guntur-chicken-andhra.jpg
Andhra Pradesh,Andhra Chicken Biryani,andhra-chicken-biryani-spicy.jpg
Andhra Pradesh,Kodi Kura Pulao,kodi-kura-pulao-andhra.jpg
Andhra Pradesh,Chicken 65 (Andhra Style),chicken-65-andhra.jpg
Andhra Pradesh,Egg Curry Andhra Style,egg-curry-andhra.jpg
Andhra Pradesh,Prawn Pulusu,prawn-pulusu-andhra.jpg
Andhra Pradesh,Mutton Chukka,mutton-chukka-andhra.jpg
Andhra Pradesh,Bommidi Fish Fry,bommidi-fish-fry-andhra.jpg
Andhra Pradesh,Gongura Pappu,gongura-pappu-andhra.jpg
Andhra Pradesh,Pesarattu,pesarattu-andhra.jpg
Andhra Pradesh,Andhra Tomato Pappu,tomato-pappu-andhra.jpg
Andhra Pradesh,Gutti Vankaya Kura,gutti-vankaya-kura-andhra.jpg
Andhra Pradesh,Bendakaya Pulusu,bendakaya-pulusu-andhra.jpg
Andhra Pradesh,Andhra Vegetable Biryani,andhra-veg-biryani-spicy.jpg
Andhra Pradesh,Pappu Charu,pappu-charu-andhra.jpg
Andhra Pradesh,Beerakaya Pappu,beerakaya-pappu-andhra.jpg
Andhra Pradesh,Vankaya Pachadi,vankaya-pachadi-andhra.jpg
Andhra Pradesh,Ulavacharu,ulavacharu-andhra.jpg
Andhra Pradesh,Mirchi Bajji (Andhra Style),mirchi-bajji-andhra.jpg
Andhra Pradesh,Punugulu,punugulu-andhra.jpg
Andhra Pradesh,Andhra Garelu,andhra-garelu.jpg
Andhra Pradesh,Andhra Chicken Pakoda,andhra-chicken-pakoda.jpg
Andhra Pradesh,Prawn Bajji (Andhra Style),prawn-bajji-andhra.jpg
Karnataka,Bisi Bele Bath,bisi-bele-bath.jpg
Karnataka,Ragi Mudde,ragi-mudde.jpg
Karnataka,Vangi Bath,vangi-bath.jpg
Karnataka,Akki Roti,akki-roti.jpg
Karnataka,Huli,huli-karnataka.jpg
Karnataka,Majjige Huli,majjige-huli.jpg
Karnataka,Kosambari,kosambari.jpg
Karnataka,Ennegai,ennegai.jpg
Karnataka,Pineapple Gojju,gojju.jpg
Karnataka,Chitranna (Lemon Rice),chitranna.jpg
Karnataka,Pumpkin Sagu,pumpkin-sagu.jpg
Karnataka,Beans Palya,beans-palya.jpg
Karnataka,Kadubu,kadubu.jpg
Karnataka,Avarekalu Usli,avarekalu-usli.jpg
Karnataka,Karnataka Style Sambar,karnataka-sambar.jpg
Karnataka,Kori Gassi,kori-gassi.jpg
Karnataka,Karnataka Mutton Sukka,mutton-sukka-karnataka.jpg
Karnataka,Chicken Ghee Roast,chicken-ghee-roast-karnataka.jpg
Karnataka,Koli Saaru,koli-saaru.jpg
Karnataka,Mangalorean Fish Curry,mangalore-fish-curry.jpg
Karnataka,Bangude Pulimunchi,bangude-pulimunchi.jpg
Karnataka,Kundapur Chicken Curry,kundapur-chicken-curry.jpg
Karnataka,Coorg Pandi Curry,coorg-pandi-curry.jpg
Karnataka,Kori Rotti,kori-rotti.jpg
Karnataka,Chicken Sukka,chicken-sukka-karnataka.jpg
Karnataka,Prawn Ghee Roast,prawn-ghee-roast.jpg
Karnataka,Mutton Curry Karnataka Style,mutton-curry-karnataka.jpg
Karnataka,Egg Curry Karnataka Style,egg-curry-karnataka.jpg
Karnataka,Fish Fry Mangalorean Style,mangalore-fish-fry.jpg
Karnataka,Crab Sukka,crab-sukka.jpg
Karnataka,Mysore Masala Dosa,mysore-masala-dosa.jpg
Karnataka,Maddur Vada,maddur-vada.jpg
Karnataka,Goli Baje (Mangalore Bajji),goli-baje.jpg
Karnataka,Davangere Benne Dosa,benne-dosa.jpg
Karnataka,Kodubale,kodubale.jpg
Karnataka,Ambode (Masala Vada),ambode.jpg
Karnataka,Nippattu,nippattu.jpg
Karnataka,Mysore Pak,mysore-pak.jpg
Karnataka,Obbattu (Holige),obbattu.jpg
Karnataka,Mangalore Buns,mangalore-buns.jpg
Telangana,Hyderabadi Chicken Biryani,hyderabadi-chicken-biryani.jpg
Telangana,Hyderabadi Mutton Biryani,hyderabadi-mutton-biryani.jpg
Telangana,Haleem,haleem.jpg
Telangana,Chicken Marag,chicken-marag.jpg
Telangana,Mutton Marag,mutton-marag.jpg
Telangana,Boti Kurma,boti-kurma.jpg
Telangana,Shikampuri Kebab,shikampuri-kebab.jpg
Telangana,Pathar Ka Gosht,pathar-ka-gosht.jpg
Telangana,Dum Ka Murgh,dum-ka-murgh.jpg
Telangana,Chicken Do Pyaza Hyderabadi,chicken-do-pyaza-hyderabadi.jpg
Telangana,Gongura Mutton,gongura-mutton.jpg
Telangana,Kodi Kharam,kodi-kharam.jpg
Telangana,Talawa Gosht,talawa-gosht.jpg
Telangana,Natukodi Iguru,natukodi-iguru.jpg
Telangana,Egg Biryani Hyderabadi,egg-biryani-hyderabadi.jpg
Telangana,Mirchi Ka Salan,mirchi-ka-salan.jpg
Telangana,Bagara Baingan,bagara-baingan.jpg
Telangana,Khatti Dal,khatti-dal.jpg
Telangana,Sorakaya Curry,sorakaya-curry.jpg
Telangana,Palak Pappu,palak-pappu.jpg
Telangana,Chintakaya Pappu,chintakaya-pappu.jpg
Telangana,Uppu Kura,uppu-kura.jpg
Telangana,Bagara Rice,bagara-rice.jpg
Telangana,Gongura Pachadi,gongura-pachadi-telangana.jpg
Telangana,Sabzi Khatti Meethi,sabzi-khatti-meethi.jpg
Telangana,Sarva Pindi,sarva-pindi.jpg
Telangana,Sakinalu,sakinalu.jpg
Telangana,Double Ka Meetha,double-ka-meetha.jpg
Telangana,Qubani Ka Meetha,qubani-ka-meetha.jpg
Telangana,Chicken Majestic,chicken-majestic.jpg
Maharashtra,Kolhapuri Chicken,kolhapuri-chicken.jpg
Maharashtra,Mutton Kolhapuri,mutton-kolhapuri.jpg
Maharashtra,Malvani Chicken Curry,malvani-chicken-curry.jpg
Maharashtra,Malvani Fish Curry,malvani-fish-curry.jpg
Maharashtra,Chicken Sukka (Maharashtrian),chicken-sukka-maharashtrian.jpg
Maharashtra,Bombil Fry (Bombay Duck Fry),bombil-fry.jpg
Maharashtra,Kombdi Vade,kombdi-vade.jpg
Maharashtra,Mutton Rassa,mutton-rassa.jpg
Maharashtra,Chicken Rassa,chicken-rassa.jpg
Maharashtra,Prawns Koliwada,prawns-koliwada.jpg
Maharashtra,Surmai Curry,surmai-curry.jpg
Maharashtra,Egg Curry (Maharashtrian),egg-curry-maharashtrian.jpg
Maharashtra,Chicken Kolhapuri Sukka,chicken-kolhapuri-sukka.jpg
Maharashtra,Mutton Kheema,mutton-kheema-maharashtra.jpg
Maharashtra,Crab Malvani,crab-malvani.jpg
Maharashtra,Puran Poli,puran-poli.jpg
Maharashtra,Batata Vada Curry,batata-vada-curry.jpg
Maharashtra,Varan Bhaat,varan-bhaat.jpg
Maharashtra,Sabudana Khichdi,sabudana-khichdi.jpg
Maharashtra,Pithla,pithla.jpg
Maharashtra,Zunka,zunka.jpg
Maharashtra,Masale Bhaat,masale-bhaat.jpg
Maharashtra,Vangyache Bharit,vangyache-bharit.jpg
Maharashtra,Amti,amti-maharashtra.jpg
Maharashtra,Aluchi Vadi,aluchi-vadi.jpg
Maharashtra,Vada Pav,vada-pav.jpg
Maharashtra,Misal Pav,misal-pav.jpg
Maharashtra,Kothimbir Vadi,kothimbir-vadi.jpg
Maharashtra,Kanda Poha,maharashtrian-poha.jpg
Maharashtra,Chicken Kolivada,chicken-kolivada.jpg
Odisha,Machha Jhola,machha-jhola-odia.jpg
Odisha,Chingudi Jhola,chingudi-jhola-odia.jpg
Odisha,Mutton Kassa,mutton-kassa-odia.jpg
Odisha,Chicken Kassa,chicken-kassa-odia.jpg
Odisha,Dahi Machha,dahi-machha-odia.jpg
Odisha,Kankada Jhola,kankada-jhola-odia.jpg
Odisha,Chicken Rai,chicken-rai-odia.jpg
Odisha,Macha Besara,macha-besara-odia.jpg
Odisha,Mutton Curry Odia Style,mutton-curry-odia-style.jpg
Odisha,Prawn Malai Curry Odia Style,prawn-malai-curry-odia.jpg
Odisha,Chicken Curry Odia Style,chicken-curry-odia-style.jpg
Odisha,Anda Tarkari,anda-tarkari-odia.jpg
Odisha,Machha Ambila,machha-ambila-odia.jpg
Odisha,Kosha Mangsho Odia Style,kosha-mangsho-odia-style.jpg
Odisha,Chuna Machha Bhaja,chuna-machha-bhaja-odia.jpg
Odisha,Dalma,dalma-odia.jpg
Odisha,Santula,santula-odia.jpg
Odisha,Ghanta Tarkari,ghanta-tarkari-odia.jpg
Odisha,Chhena Poda,chhena-poda-odia.jpg
Odisha,Besara,besara-odia.jpg
Odisha,Saga Bhaja,saga-bhaja-odia.jpg
Odisha,Kanika,kanika-odia.jpg
Odisha,Alu Potala Rasa,alu-potala-rasa-odia.jpg
Odisha,Dahi Baigana,dahi-baigana-odia.jpg
Odisha,Chhena Tarkari,chhena-tarkari-odia.jpg
Odisha,Pakhala Bhaja,pakhala-bhaja-odia.jpg
Odisha,Aloo Chop,aloo-chop-odia.jpg
Odisha,Dahi Vada Odia Style,dahi-vada-odia-style.jpg
Odisha,Chhena Jhili,chhena-jhili-odia.jpg
Odisha,Fish Chop,fish-chop-odia.jpg
Chhattisgarh,Chhattisgarhi Chicken Curry,chhattisgarhi-chicken-curry.jpg
Chhattisgarh,Mutton Curry Chhattisgarhi Style,mutton-curry-chhattisgarhi.jpg
Chhattisgarh,Bhajir Machhi,bhajir-machhi.jpg
Chhattisgarh,Chicken Bafauri Style Curry,chicken-bafauri-curry.jpg
Chhattisgarh,Mutton Kaliya,mutton-kaliya-cg.jpg
Chhattisgarh,Machli Bhuja,machli-bhuja.jpg
Chhattisgarh,Chicken Kaliya,chicken-kaliya-cg.jpg
Chhattisgarh,Egg Curry Chhattisgarhi Style,egg-curry-chhattisgarhi.jpg
Chhattisgarh,Kadai Chicken Chhattisgarhi,kadai-chicken-chhattisgarhi.jpg
Chhattisgarh,Mutton Bhutwa,mutton-bhutwa-cg.jpg
Chhattisgarh,Chicken Bhutwa,chicken-bhutwa-cg.jpg
Chhattisgarh,Machhi Jhor,machhi-jhor-cg.jpg
Chhattisgarh,Desi Murga Curry,desi-murga-curry-cg.jpg
Chhattisgarh,Mutton Curry with Kohda,mutton-kohda-curry.jpg
Chhattisgarh,Anda Bhutwa,anda-bhutwa-cg.jpg
Chhattisgarh,Chana Bhaji Chhattisgarhi,chana-bhaji-chhattisgarhi.jpg
Chhattisgarh,Bafauri,bafauri-veg-cg.jpg
Chhattisgarh,Chousela Roti with Sabzi,chousela-roti-sabzi.jpg
Chhattisgarh,Aamat,aamat-curry.jpg
Chhattisgarh,Muthiya Bhaji,muthiya-bhaji.jpg
Chhattisgarh,Dubki Kadhi,dubki-kadhi-cg.jpg
Chhattisgarh,Bhaji Chhattisgarhi (Mixed Greens),chhattisgarhi-mixed-greens.jpg
Chhattisgarh,Farra,farra-rolls.jpg
Chhattisgarh,Tilgur Chana,tilgur-chana.jpg
Chhattisgarh,Kusli Sabzi,kusli-sabzi-cg.jpg
Chhattisgarh,Chila,chila-chhattisgarhi.jpg
Chhattisgarh,Aamat Bhajiya,aamat-bhajiya.jpg
Chhattisgarh,Khurma Chhattisgarhi,khurma-chhattisgarhi.jpg
Chhattisgarh,Thethri,thethri-cg.jpg
Chhattisgarh,Fish Pakora Chhattisgarhi,fish-pakora-chhattisgarhi.jpg
Madhya Pradesh,Bhopali Chicken Curry,bhopali-chicken-curry.jpg
Madhya Pradesh,Mutton Korma Bhopali,mutton-korma-bhopali.jpg
Madhya Pradesh,Malwa Style Chicken Curry,malwa-chicken-curry.jpg
Madhya Pradesh,Keema Matar,keema-matar-mp.jpg
Madhya Pradesh,Chicken Rogan Josh Bhopali,chicken-rogan-josh-bhopali.jpg
Madhya Pradesh,Mutton Curry Malwa Style,mutton-curry-malwa.jpg
Madhya Pradesh,Chicken Do Pyaza MP Style,chicken-do-pyaza-mp.jpg
Madhya Pradesh,Mutton Seekh Kebab,mutton-seekh-kebab-mp.jpg
Madhya Pradesh,Chicken Chaap Bhopali,chicken-chaap-bhopali.jpg
Madhya Pradesh,Egg Curry MP Style,egg-curry-mp.jpg
Madhya Pradesh,Mutton Nihari Bhopali,mutton-nihari-bhopali.jpg
Madhya Pradesh,Mild Bhopali Chicken Korma,chicken-korma-bhopali-mild.jpg
Madhya Pradesh,Fish Curry Narmada Style,fish-curry-narmada.jpg
Madhya Pradesh,Mutton Kaleji,mutton-kaleji-mp.jpg
Madhya Pradesh,Chicken Handi,chicken-handi-mp.jpg
Madhya Pradesh,Bhutte Ka Kees,bhutte-ka-kees.jpg
Madhya Pradesh,Dal Bafla,dal-bafla.jpg
Madhya Pradesh,Sev Bhaji,sev-bhaji.jpg
Madhya Pradesh,Palak Vadi Curry,palak-vadi-curry.jpg
Madhya Pradesh,Indori Poha,indori-poha.jpg
Madhya Pradesh,Chana Dal Sabzi,chana-dal-sabzi-mp.jpg
Madhya Pradesh,Madhya Pradesh Malpua,malpua-mp.jpg
Madhya Pradesh,Kadhi Bhopali,kadhi-bhopali.jpg
Madhya Pradesh,Bhindi Malwa Style,bhindi-malwa.jpg
Madhya Pradesh,Lapsi,lapsi-mp.jpg
Madhya Pradesh,Bhutte Ki Kees Chaat,indori-bhutte-ki-kees-chaat.jpg
Madhya Pradesh,Poha Jalebi,poha-jalebi-indore.jpg
Madhya Pradesh,Mawa Bati,mawa-bati-mp.jpg
Madhya Pradesh,Bhopali Samosa,bhopali-samosa.jpg
Madhya Pradesh,Chicken Cutlet Bhopali,chicken-cutlet-bhopali.jpg
Gujarat,Kathiawadi Chicken Curry,kathiawadi-chicken-curry.jpg
Gujarat,Kathiawadi Mutton Curry,kathiawadi-mutton-curry.jpg
Gujarat,Chicken Bharuchi,chicken-bharuchi.jpg
Gujarat,Surti Chicken Curry,surti-chicken-curry.jpg
Gujarat,Machhi Nu Shaak,machhi-nu-shaak.jpg
Gujarat,Chicken Khiro,chicken-khiro.jpg
Gujarat,Mutton Bafat,mutton-bafat-gujarati.jpg
Gujarat,Chicken Ambot Tik (Gujarati Style),chicken-ambot-tik.jpg
Gujarat,Egg Curry Gujarati Style,egg-curry-gujarati.jpg
Gujarat,Kolamba Fish Curry,kolamba-fish-curry.jpg
Gujarat,Chicken Handi Gujarati Style,chicken-handi-gujarati.jpg
Gujarat,Mutton Kheema Gujarati,mutton-kheema-gujarati.jpg
Gujarat,Parsi Chicken Curry,chicken-curry-parsi.jpg
Gujarat,Prawn Curry Surti,prawn-curry-surti.jpg
Gujarat,Chicken Fry Kathiawadi,chicken-fry-kathiawadi.jpg
Gujarat,Undhiyu,undhiyu.jpg
Gujarat,Gujarati Kadhi,gujarati-kadhi.jpg
Gujarat,Dal Dhokli,dal-dhokli.jpg
Gujarat,Sev Tameta Nu Shaak,sev-tameta-nu-shaak.jpg
Gujarat,Bateta Nu Shaak,bateta-nu-shaak.jpg
Gujarat,Ringan No Olo,ringan-no-olo.jpg
Gujarat,Gujarati Dal,gujarati-dal.jpg
Gujarat,Handvo,handvo.jpg
Gujarat,Muthiya Nu Shaak,muthiya-nu-shaak.jpg
Gujarat,Sev Khamani,sev-khamani.jpg
Gujarat,Dhokla,dhokla.jpg
Gujarat,Khandvi,khandvi.jpg
Gujarat,Fafda Jalebi,fafda-jalebi.jpg
Gujarat,Khaman,khaman.jpg
Gujarat,Chicken Pakora (Gujarati Style),chicken-pakora-gujarati.jpg
Uttar Pradesh,Lucknowi Chicken Biryani,lucknowi-chicken-biryani.jpg
Uttar Pradesh,Galouti Kebab,galouti-kebab.jpg
Uttar Pradesh,Awadhi Mutton Korma,awadhi-mutton-korma.jpg
Uttar Pradesh,Nihari,nihari-up.jpg
Uttar Pradesh,Tunday Kebab,tunday-kebab.jpg
Uttar Pradesh,Chicken Rezala Lucknowi,chicken-rezala-lucknowi.jpg
Uttar Pradesh,Kakori Kebab,kakori-kebab.jpg
Uttar Pradesh,Mutton Rara,mutton-rara-up.jpg
Uttar Pradesh,Chicken Korma Awadhi,chicken-korma-awadhi.jpg
Uttar Pradesh,Bhuna Gosht UP Style,bhuna-gosht-up.jpg
Uttar Pradesh,Egg Curry Lucknowi Style,egg-curry-lucknowi.jpg
Uttar Pradesh,Murgh Musallam,murgh-musallam-lucknow.jpg
Uttar Pradesh,Mutton Do Pyaza UP Style,mutton-do-pyaza-up.jpg
Uttar Pradesh,Chicken Chaap Lucknowi,chicken-chaap-lucknowi.jpg
Uttar Pradesh,Machli Amritsari UP Style,machli-amritsari-up.jpg
Uttar Pradesh,Kashi Chaat,kashi-chaat.jpg
Uttar Pradesh,Bedmi Puri with Aloo Sabzi,bedmi-puri-sabzi.jpg
Uttar Pradesh,Nimona,nimona-up.jpg
Uttar Pradesh,Dubki Wale Aloo,dubki-wale-aloo.jpg
Uttar Pradesh,Kaddu Ki Sabzi UP Style,kaddu-ki-sabzi-up.jpg
Uttar Pradesh,Arhar Dal Banarasi,arhar-dal-banarasi.jpg
Uttar Pradesh,Bharwa Baingan UP Style,bharwa-baingan-up.jpg
Uttar Pradesh,Lauki Kofta,lauki-kofta-up.jpg
Uttar Pradesh,Petha ki Sabzi,petha-ki-sabzi-up.jpg
Uttar Pradesh,Til Ki Chutney with Sabzi,til-chutney-sabzi.jpg
Uttar Pradesh,Banarasi Chaat,banarasi-chaat.jpg
Uttar Pradesh,Agra Petha,agra-petha.jpg
Uttar Pradesh,Kachori with Aloo Sabzi,kachori-aloo-up.jpg
Uttar Pradesh,Malaiyyo,malaiyyo.jpg
Uttar Pradesh,Chicken Tikka Lucknowi,chicken-tikka-lucknowi.jpg
Bihar,Bihari Mutton Curry,bihari-mutton-curry.jpg
Bihar,Bihari Chicken Curry,bihari-chicken-curry.jpg
Bihar,Machh Ka Salan,machh-ka-salan.jpg
Bihar,Mutton Kaleji Bihari,mutton-kaleji-bihari.jpg
Bihar,Chicken Rezala Bihari,chicken-rezala-bihari.jpg
Bihar,Anda Curry Bihari Style,anda-curry-bihari.jpg
Bihar,Machh Bhuja,machh-bhuja.jpg
Bihar,Mutton Champaran Style (Ahuna Mutton),champaran-mutton.jpg
Bihar,Chicken Bhuna Bihari,chicken-bhuna-bihari.jpg
Bihar,Kadhi Machhi,kadhi-machhi.jpg
Bihar,Litti Chokha,litti-chokha.jpg
Bihar,Chana Ghugni,chana-ghugni.jpg
Bihar,Dal Pitha,dal-pitha.jpg
Bihar,Kadhi Bihari Style,kadhi-bihari.jpg
Bihar,Sattu Paratha,sattu-paratha.jpg
Bihar,Bhindi Bihari Style,bhindi-bihari.jpg
Bihar,Aloo Chokha,aloo-chokha.jpg
Bihar,Baingan Chokha,baingan-chokha.jpg
Bihar,Dal Bihari (Arhar Dal),dal-bihari.jpg
Bihar,Kaddu Bhaji Bihari Style,kaddu-bhaji-bihari.jpg
Bihar,Sattu Sharbat Snack Balls,sattu-snack-balls.jpg
Bihar,Khaja,khaja.jpg
Bihar,Thekua,thekua.jpg
Bihar,Pua,pua.jpg
Bihar,Fish Pakora Bihari Style,fish-pakora-bihari.jpg
Haryana,Haryanvi Mutton Curry,haryanvi-mutton-curry.jpg
Haryana,Haryanvi Chicken Curry,haryanvi-chicken-curry.jpg
Haryana,Sarson Wala Mutton,sarson-wala-mutton.jpg
Haryana,Chicken Handi Haryanvi,chicken-handi-haryanvi.jpg
Haryana,Mutton Do Pyaza Haryanvi,mutton-do-pyaza-haryanvi.jpg
Haryana,Egg Curry Haryanvi Style,egg-curry-haryanvi.jpg
Haryana,Chicken Bhuna Haryanvi,chicken-bhuna-haryanvi.jpg
Haryana,Mutton Kaleji Haryanvi,mutton-kaleji-haryanvi.jpg
